names,prices
Masala Dosa,75.0
Puri Bhaji,87.0
Set Dosa,75.0
Rawa Idli,87.0
Buns,62.0
Idli,56.0
Parata korma,92.0
Sheera,62.0
Neer Dosa,81.0
Medu Vada,69.0
Chow Chow Bath,87.0
Anjur Milkshake,145.0
Sheera Puri,94.0
Andhra Masala Dosa,94.0
Masala Uttapam,94.0
Butter Dosa,94.0
Puri Korma,87.0
Dahi Vada,81.0
Tomato Omelette Dosa,69.0
Plain Dosa,62.0
Sajjige Bajil,62.0
Butter Milk,35.0
Idli,56.0
Medu Vada,69.0
Rawa Idli,87.0
Dahi Idli,81.0
Upittu,50.0
Chow Chow Bath,87.0
Sheera Puri,94.0
Puri Bhaji,87.0
Puri Korma,87.0
Avalakki,50.0
Sajjige Bajil,62.0
Buns,62.0
Dahi Vada,81.0
Sheera,62.0
Parata korma,92.0
Masala Dosa,75.0
Plain Dosa,62.0
Set Dosa,75.0
Mysore Dosa,75.0
Andhra Masala Dosa,94.0
Tomato Omelette Dosa,69.0
Rawa Dosa,81.0
Neer Dosa,81.0
Onion Rava Dosa,94.0
Ghee Roast Dosa,94.0
Tuppa Dosa,94.0
Butter Dosa,94.0
Butter Masala Dosa,106.0
Sada Dosa,75.0
Duet Masala Dosa,94.0
Plain Uttapam,69.0
Masala Uttapam,94.0
Onion Uttapam,75.0
Cold Badam Milk,110.0
Lassi,85.0
Butter Milk,35.0
Anjur Milkshake,145.0
Watermelon Juice,110.0
Musambi Juice,120.0
Pineapple Juice,110.0
Dalimbe Juice,120.0
Blue Sky,165.0
