names,prices
Chicken Dum Biryani,130.0
Chicken Cheese Stuffed Parotta,110.0
Aloo Stuffed Parotta,50.0
Bhindi Bhujiya,100.0
Paneer Manchurian,150.0
Paneer Do Pyaza,140.0
Milk Maggi,70.0
Paneer Bhurji,130.0
Malai Kofta,120.0
Puri Bhaji,55.0
Chicken Stuffed Parotta,110.0
Veg Masala Fried Rice,95.0
Chicken Maggi,90.0
Boiled Egg Masala,90.0
Egg Keema,85.0
Methi Stuffed Parotta,80.0
Double Omelette,60.0
Mixed Stuffed Parotta,50.0
Onion Stuffed Parotta,50.0
Plain Maggi,50.0
Bombay Chapati,15.0
Butter Roti,25.0
Aloo Stuffed Parotta,50.0
Mixed Stuffed Parotta,50.0
Gobi Stuffed Parotta,55.0
Onion Stuffed Parotta,50.0
Paneer Stuffed Parotta,100.0
Methi Stuffed Parotta,80.0
Carrot Stuffed Parotta,55.0
Aloo Cheese Stuffed Parotta,80.0
Paneer Cheese Stuffed Parotta,110.0
Egg Stuffed Parotta,60.0
Chicken Stuffed Parotta,110.0
Chicken Cheese Stuffed Parotta,110.0
Puri Bhaji,55.0
Masala Dosa,60.0
Plain Dosa,40.0
Sada Dosa,50.0
Onion Dosa,55.0
Veg Clear Soup,60.0
Veg Manchow Soup,65.0
Chicken Manchow Soup,70.0
Gobi Manchurian,90.0
Gobi Chilli,90.0
Paneer Manchurian,150.0
Mushroom Manchurian,160.0
Chicken Manchurian Dry,140.0
Chicken Pepper Dry,170.0
Chana Masala,100.0
Aloo Matar,90.0
Paneer Matar,110.0
Paneer Bhurji,130.0
Paneer Chana,110.0
Paneer Do Pyaza,140.0
Bhindi Masala,90.0
Bhindi Bhujiya,100.0
Mushroom Masala,120.0
Veg Makhanwala,130.0
Malai Kofta,120.0
Dal Tadka,110.0
Boiled Egg Masala,90.0
Egg Bhurji,70.0
Egg Keema,85.0
Chicken Masala,150.0
Chicken Kolhapuri,160.0
Tandoori Roti,20.0
Butter Roti,25.0
Butter Naan,35.0
Bombay Chapati,15.0
Curd Rice,80.0
Dal Khichdi,100.0
Plain Rice,40.0
Mushroom Biryani,150.0
Egg Biryani,140.0
Chicken Dum Biryani,130.0
Veg Fried Rice,90.0
Veg Masala Fried Rice,95.0
Egg Fried Rice,90.0
Chicken Schezwan Fried Rice,120.0
Veg Noodles,80.0
Egg Noodles,100.0
Plain Maggi,50.0
Veg Maggi,55.0
Milk Maggi,70.0
Masala Maggi,75.0
Paneer Maggi,95.0
Chicken Maggi,90.0
Boiled Egg [2 Eggs],40.0
Boiled Egg Chilli,100.0
Single Omelette,60.0
Double Omelette,60.0
Curd,25.0
Mosambi Juice,60.0
Watermelon Juice,50.0
Orange Juice,60.0
Lime Mint Juice,50.0
Muskmelon Juice,60.0
Lassi,60.0
Buttermilk,40.0
Tea,15.0
Coffee,15.0
Hot Chocolate,30.0
Hot Milk,20.0
Ginger Tea,20.0
Chocolate Milkshake,70.0
Chikoo Milkshake,70.0
Oreo Milkshake,70.0
