names,prices
Boiled Rice with Chicken Gravy,50.0
White Rice with Chicken Gravy,50.0
Boiled Rice with Chicken Gravy,50.0
Paneer Manchurian,140.0
Gobi Manchurian,90.0
Chicken Kebab [8 Pieces],150.0
Egg Masala,70.0
Chicken Sukka,130.0
Ghee Rice,90.0
Chicken Biryani,150.0
Anjal Tawa Fry,160.0
Anjal Rava Fry,160.0
Bangude Masala Fry,70.0
Disco Tawa,80.0
Kallur Masala Fry,80.0
Kallur Tawa Fry,80.0
Prawns Chilli,170.0
Prawns Pepper Dry,170.0
Prawns Ghee Roast,210.0
Squid Naked Fry,150.0
Crab Sukka,150.0
Crab Ghee Roast,180.0
Paneer Fried RIce,110.0
Egg Fried Rice,90.0
Egg Omelette,50.0
