names,prices
Chicken Biryani,150.0
Chicken Tikka Biryani,250.0
Paneer Biryani,140.0
Tandoori Chicken,220.0
Chicken 65,120.0
Egg Biryani,120.0
Chicken Chilly,120.0
Chicken Kolhapuri,120.0
Chicken Tikka,200.0
Kadai Chicken,120.0
Chicken Fried Rice,120.0
Paneer Butter Masala,160.0
Chicken Pepper Dry,120.0
Paneer Chilly Dry,160.0
Paneer Masala,125.0
Paneer Burji,160.0
Roti,30.0
Biryani Rice,100.0
Mushroom Biryani,140.0
Butter Naan,40.0
Veg Biryani,130.0
Chicken Schezwan Fried Rice,125.0
Chicken Manchurian,120.0
Chicken Masala,120.0
Paneer Manchurian Gravy,160.0
Gobi Manchurian Dry,125.0
Chicken Tikka Masala,150.0
Veg Fried Rice,110.0
Chilli Potato Dry,125.0
Bendi Masala,125.0
Egg Fried Rice,110.0
Dal Khichdi,120.0
Jeera Rice,120.0
Biryani Rice,100.0
Veg Biryani,130.0
Paneer Biryani,140.0
Mushroom Biryani,140.0
Egg Biryani,120.0
Chicken Biryani,150.0
Chicken Tikka Biryani,250.0
Kashmiri Pulav,125.0
Green Peas Pulav,120.0
Jeera Rice,120.0
Ghee Rice,120.0
Dal Khichdi,120.0
Curd Rice,110.0
Steamed Rice,80.0
Palak Khichdi,120.0
Garlic Rice,120.0
Veg Manchow Soup,80.0
Veg Hot and Sour Soup,80.0
Veg Tomato Soup,80.0
Mushroom Tikka,160.0
Paneer Tikka,180.0
Tandoori Chicken,220.0
Chicken Tikka,200.0
Paneer Masala,125.0
Paneer Butter Masala,160.0
Kaju Mutter,170.0
Kaju Makkhanwala,170.0
Kaju Masala,170.0
Veg Kolhapuri,125.0
Veg Makkhanwala,125.0
Veg Kadi,125.0
Mushroom Tikka Masala,180.0
Mushroom Masala,160.0
Mushroom Mutter,160.0
Mushroom Kadai,160.0
Veg Ande,125.0
Aloo Gobi Masala,125.0
Paneer Burji,160.0
Dal Fry,120.0
Dal Tadka,120.0
Dal Kolhapuri,120.0
Paneer Tikka Masala,180.0
Palak Paneer,125.0
Mixed Veg,125.0
Bendi Masala,125.0
Capsicum Masala,125.0
Egg Masala,120.0
Egg Hyderbadi,125.0
Chicken Palak,120.0
Kashmiri Chicken,120.0
Goan Chicken,120.0
Butter Chicken,220.0
Chicken Kolhapuri,120.0
Kadai Chicken,120.0
Chicken Moglai,120.0
Chicken Masala,120.0
Chicken Sukka,120.0
Chicken Tikka Masala,150.0
Chicken Hyderabadi,120.0
Chicken Andi,120.0
Roti,30.0
Butter Roti,35.0
Naan,35.0
Butter Naan,40.0
Kulcha,35.0
Butter Kulcha,40.0
Paratha,40.0
Egg Paratha,60.0
Paneer Chilly Dry,160.0
Paneer Chilly Gravy,170.0
Paneer Manchurian Dry,160.0
Paneer Manchurian Gravy,160.0
Mushroom Chilly Dry,160.0
Mushroom Chilly Gravy,170.0
Mushroom Manchurian Dry,160.0
Mushroom Manchurian Gravy,160.0
Gobi Chilly Dry,125.0
Gobi Manchurian Dry,125.0
Gobi Manchurian Gravy,125.0
Chilli Potato Dry,125.0
Schezwan Gobi Dry,125.0
Schezwan Gobi Gravy,125.0
Schezwan paneer Gravy,170.0
Paneer 65 Dry,160.0
Egg Chilly Gravy,120.0
Chicken Chilly,120.0
Chicken Manchurian,120.0
Chicken 65,120.0
Chicken Pepper Dry,120.0
Chicken Ginger,120.0
Chicken Garlic,120.0
Chicken Kebab,180.0
Veg Fried Rice,110.0
Veg Schezwan Fried Rice,120.0
Paneer Fried Rice,125.0
Mushroom Fried Rice,125.0
Paneer Schezwan Fried Rice,125.0
Egg Fried Rice,110.0
Egg Schezwan Fried Rice,120.0
Chicken Fried Rice,120.0
Chicken Schezwan Fried Rice,125.0
