names,prices
Classic Veg Burger,129.0
Egg and Cheese Burger,159.0
Chicken Burger,159.0
Chicken Beast Burger,279.0
Chicken Burger,159.0
Juicy Lamb Burger,219.0
Lamb Burger,179.0
Los Pos Hermanos Chicken Burger,179.0
Schezwan Chicken Premium Burger,179.0
Mexican Fried Chicken Burger,159.0
Classic Veg Burger Meal,249.0
Chipotle Lamb Burger,179.0
The Unforgiving Mutton Burger,179.0
Brownie Thickshake,159.0
French Fries,109.0
Veg Chipotle Burger,139.0
Schezwan Chicken Burger,159.0
Schezwan Premium Lamb Burger,219.0
Classic Veg Beast Burger,219.0
Classic Veg Burger,129.0
Veg Chipotle Burger,139.0
The Spicy Veg Burger,139.0
Egg and Cheese Burger,159.0
Chicken Burger,159.0
Mexican Fried Chicken Burger,159.0
Schezwan Chicken Burger,159.0
Chicken Premium Burger,179.0
Los Pos Hermanos Chicken Burger,179.0
Schezwan Chicken Premium Burger,179.0
Lamb Burger,179.0
Chipotle Lamb Burger,179.0
The Unforgiving Mutton Burger,179.0
Juicy Lamb Burger,219.0
Schezwan Premium Lamb Burger,219.0
Classic Veg Beast Burger,219.0
Chicken Beast Burger,279.0
Chicken Premium Beast Burger,319.0
Bannur Lamb Beast Burger,399.0
Egg &amp; Cheese Burger Meal,289.0
Classic Veg Burger Meal,249.0
Chicken Burger Meal,299.0
Lamb Burger Meal,299.0
Classic Veg Jumbo Burger Meal,299.0
Chilli Paneer Rice Bowl,169.0
Bhuna Chicken Rice Bowl,179.0
Szechuan Chicken Rice Bowl,169.0
French Fries,109.0
Chicken Fingers,189.0
Chicken Popcorn,189.0
Veg Fingers,139.0
Choco Lava Cake,89.0
Chocolate Truffle Jar Cake,109.0
Red Velvet Jar Cake,109.0
Death By Chocolate Jar Cake,119.0
Black Forest Jar Cake,119.0
Walnut Brownie,99.0
Brownie Thickshake,159.0
Veg Mayonnaise,20.0
Schezwan Mayonnaise,25.0
Egg Mayonnaise,25.0
Mint Mayonnaise,25.0
Chipotle Mayonnaise,25.0
