names,prices
Hat-Trick Combo,788.57
10 pcs Leg Piece Bucket &amp; 4 Dips,780.0
5 pc Leg Piece Bucket Meal,570.48
Ultimate Savings Bucket,665.71
Big 12 Bucket,694.29
Chicken &amp; Krispers Combo,499.05
Big 8,619.05
8 pcs Hot &amp; Crispy Chicken,699.05
6 pc Hot &amp; Crispy Chicken,522.86
5pc Leg Piece Bucket &amp; 2 Dips,437.14
5 pc Smoky Red Chicken,408.57
Friendship Bucket,699.05
Bucket for Two,599.05
Mingles Bucket Meal,459.05
10 strips &amp; 2 Dips Bucket,448.57
Chick &amp; Share Buckets,427.62
2 Chicken Krisper Burgers,208.57
Veg-Non-Veg Krispers Combo,348.57
2 Veg Krisper Burgers,138.1
2 Veg Krispers Meal,248.57
Tandoori Zinger Burger,180.0
Mixed Zinger Doubles,308.57
Classic Zinger,170.48
Buddy Meal,460.0
Veg Zinger Burger,160.0
Popcorn Rice Bowl,159.05
Rice Duo Meal,419.05
2 Popcorn Rice Bowls with 8 Hot Wings,519.05
Veg Rice Bowl,150.48
Smoky Red Rice Bowl,180.0
Mingles Bucket,308.57
Chicken &amp; Fries Bucket,248.57
4pcs Hot &amp; Crispy Chicken,399.05
Popcorn &amp; Fries bucket,299.05
Large Popcorn,218.1
Medium Popcorn,150.48
Regular Popcorn,108.57
2 pc Hot &amp; Crispy Chicken,219.05
6pcs Boneless Chicken strips,228.57
2 pcs Smoky Red Chicken,219.05
4pc Hot Chicken Wings,150.48
1 pc Hot &amp; Crispy,110.48
1 pc Smoky Red Chicken,110.48
Tandoori Masala Dip,24.76
Pack of 4 Dips,90.48
Pack of 2 Dip,50.48
Large Fries,113.33
Medium Fries,94.3
Pepsi PET,57.14
Pepsi Can 330 ml,57.1
7UP Can 330 ml,57.1
Pepsi Black Can 330 ml,57.1
Mirinda Can 330 ml,57.1
Red Bull Energy Drink,152.4
