names,prices
Paneer and Mushroom Roll,85.7
Egg and Chicken Roll,95.2
Chicken Tikka Roll,100.0
Egg and Chicken Tikka Roll,109.5
Chicken Seekh Roll,76.2
Chicken Seekh Kabab [1 Plate],114.3
Veggie Roll,57.1
Mushroom Roll,66.7
Sweet Corn Roll,57.1
Paneer Roll,66.7
Double Paneer Roll,85.7
Paneer Bhurji Roll,85.7
Double Paneer Bhurji Roll,85.7
Paneer Tikka Roll,85.7
Double Paneer Tikka Roll,109.5
Paneer Malai Tikka Roll,100.0
Double Paneer Malai Tikka Roll,128.6
Chowmein Roll,57.1
Paneer Chowmein Roll,85.7
Paneer and Mushroom Roll,85.7
Paneer and Veggie Roll,85.7
Veg Jumbo Roll,85.7
Egg Roll,42.9
Double Egg Roll,47.6
Chicken Roll,85.7
Double Chicken Roll,109.5
Egg and Chicken Roll,95.2
Chicken Tikka Roll,100.0
Egg and Chicken Tikka Roll,109.5
Chicken Seekh Roll,76.2
Double Chicken Seekh Roll,100.0
Egg and Chicken Seekh Roll,85.7
Chicken Malai Tikka Roll,119.0
Egg and Chicken Malai Tikka Roll,128.6
Chicken Rara Roll,100.0
Non Veg Jumbo Roll,109.5
