names,prices
Chicken Supreme Pizza,200.0
Chicken Tandoori Pizza,200.0
Veg Supreme Pizza,175.0
Hot and Spicy Chicken Burger with Cheese,130.0
Non Veg Meal [Serves 2],660.0
"Buy 11"" (inches) choice of Medium Pizza Veg &amp; get 2 Coke (250ml)",500.0
"Buy choice of Large Pizza Veg 13""(inches) &amp; get 4 Coke (250ml)",850.0
"Buy 11"" (inches) choice of Medium Pizza Non Veg &amp; get 2 Coke (250ml)",500.0
"Buy choice of Large Pizza Non Veg 13""(inches) &amp; get 4 Coke (250ml)",850.0
Veg Meal [Serves 2],660.0
Non Veg Meal [Serves 2],660.0
Non Veg Meal [Serves 4],850.0
Kediyoor's Special Combo,1150.0
"Veg Supreme Pizza [Small, 7 inches] with Coke [250 ml] Combo",230.0
"Exotic Pizza [Small, 7 inches] with Coke [250 ml] Combo",210.0
"Paneer Pizza [Small, 7 inches] with Coke [250 ml] Combo",220.0
"Mushroom Pizza [Small, 7 inches] with Coke [250 ml] Combo",200.0
"Chicken Supreme Pizza [Small, 7 inches] with Coke [250 ml] Combo",230.0
"Chicken Tikka Pizza [Small, 7 inches] with Coke [250 ml] Combo",220.0
"Chicken Tandoori Pizza [Small, 7 inches] with Coke [250 ml] Combo",230.0
"Hot and Sweet Chicken Pizza [Small, 7 inches] with Coke [250 ml] Combo",220.0
"Hot and Spicy Chicken Pizza [Small, 7 inches] with Coke [250 ml] Combo",220.0
"Hawaiian Fantasy Chicken Pizza [Small, 7 inches] with Coke [250 ml] Combo",220.0
"Meat Lover Pizza [Small, 7 inches] with Coke [250 ml] Combo",230.0
Veg Supreme Pizza,175.0
Exotic Pizza,175.0
Paneer Pizza,180.0
Onion and Capsicum Pizza,175.0
Mushroom Pizza,170.0
Margherita Pizza,150.0
Chicken Supreme Pizza,200.0
Chicken Tikka Pizza,190.0
Chicken Tandoori Pizza,200.0
Hawaiian Fantasy Pizza,180.0
Hot and Spicy Pizza,190.0
Meat Lover Pizza,190.0
Veg Burger,120.0
Veg Burger Double Whopper with Cheese,140.0
Spicy Veg Burger,120.0
Chicken Burger with Cheese,130.0
Chicken Burger Double Whopper with Cheese,150.0
Hot and Spicy Chicken Burger with Cheese,130.0
Cheese Stick [Large],240.0
Potato Wedges,140.0
French Fries,130.0
Coke [300 ml],50.0
Sprite [300 ml],50.0
Fanta [300 ml],50.0
Coke [750 ml],75.0
