names,prices
Chicken Cream and Cheese Pasta,205.0
Chicken Peri Peri Momos,195.0
Peri Peri Wings,185.0
Masala Cheesy Fries,165.0
Mumbai Special Sandwich,125.0
Chicken Hot Garlic with Butter Garlic Rice,274.0
Green Chilli Chicken with Butter Garlic Rice,274.0
Hunan Chicken with Butter Garlic Rice,274.0
Paneer Gobi Manchurian,185.0
Paneer Pepper,165.0
Spicy Garlic Wings,195.0
Peri Peri Wings,185.0
BBQ Wings,205.0
Cheesy Tobasco Wings,205.0
Creamy Garlic Wings,205.0
Chicken Biryani,160.0
Chicken Crispy,204.0
Chicken 65,175.0
Crispy Noodles,195.0
Schezwan Rice,194.0
Hong Kong Rice,185.0
Chicken Manchurian Rice,245.0
Chicken Cream and Cheese Pasta,205.0
Chicken Cheesy Red Pepper Pasta,185.0
Chicken Tomato Oregano Pasta,195.0
Chicken Aglio Olio Pasta,205.0
Veg Pizza,205.0
Chicken Pizza,225.0
Chicken Manchurian Pizza,255.0
BBQ Chicken Pizza,245.0
Veg Cream and Cheese Pasta,185.0
Veg Cheesy Red Pepper Pasta,175.0
Veg Alfredo Pasta,185.0
Veg Basil Pesto Pasta,180.0
Veg Tuscany Pasta,185.0
Veg Primavera Pasta,185.0
Double Decker Burger,205.0
Chicken American Burger,165.0
Grilled Chicken Burger,205.0
BBQ Chicken Sausage Burger,195.0
Chicken Strip Burger,205.0
Chicken Triple Decker Burger,255.0
Chilli Cheese Sandwich,105.0
Jalapeno Sandwich,135.0
Grilled Chicken Sandwich,175.0
Mushroom Roll,115.0
Cottage Cheese Roll,135.0
Chicken Cheese Roll,155.0
Chicken Chilli Roll,155.0
BBQ Chicken Roll,155.0
Veg Fried Momos,155.0
Veg Peri Peri Momos,165.0
Veg Butter Garlic Momos,165.0
Veg Basil Chilli Momos,175.0
Chicken Peri Peri Momos,195.0
Chicken Butter Garlic Momos,195.0
Chicken Basil Chilli Momos,205.0
Potato Wedges,155.0
Murgh Stripes,205.0
Veg Spring Roll,145.0
Chicken Spring Roll,155.0
Peri Peri Fries,135.0
Masala Cheesy Fries,165.0
Loaded Fries,185.0
Cottage Cheese Quesadilla,204.0
Spicy Chicken Quesadilla,224.0
Peri Peri Chicken Quesadilla,224.0
Chocolate Fudge Sundae,165.0
Peach Iced Tea,105.0
Mosambi Juice,95.0
Mango Mojito,105.0
Litchi Mojito,125.0
Blue Mojito,125.0
Royal Falooda,185.0
Coffee On The Rocks,125.0
KitKat Cold Coffee,175.0
Mint Lime Soda,85.0
