names,prices
Chicken Leg Roast Biryani,280.0
Chicken Kheema Rice,240.0
Chicken Hyderabadi Dum Biryani,220.0
Veg Hakka Noodles with Mushroom Manchurian Gravy,199.0
Chicken Sticky Wings,199.0
Mutton Hyderabadi Biryani,350.0
Gobi Manchurian,150.0
Murg Kali Mirch Masala with Jeera Rice,239.0
Red Dragon Chicken,220.0
Kumbh (Mushroom) Bharwan,210.0
Cheesy Broccoli Tikka,199.0
Hariyali Paneer Tikka,199.0
Curd Rice,99.0
Mushroom Biryani,180.0
Veg Kholapuri,150.0
Egg Biryani,179.0
Chicken Kheema Rice,240.0
Chicken Hyderabadi Dum Biryani,220.0
Chicken Ghee Roast Biryani,270.0
Mutton Hyderabadi Biryani,350.0
Chicken Leg Roast Biryani,280.0
Mushroom Biryani,180.0
Paneer Ghee Roast Biryani,240.0
Veg Hakka Noodles with Mushroom Manchurian Gravy,199.0
Dhabawala Methimurg with Peas Pulav,220.0
Murg Kali Mirch Masala with Jeera Rice,239.0
Chicken Triple Fried with Chicken Schezwan Gravy,239.0
Paneer Achari Tikka,199.0
Hariyali Paneer Tikka,199.0
Cheesy Broccoli Tikka,199.0
Kumbh (Mushroom) Bharwan,210.0
Peri Peri Chicken Tikka with Pineapple,240.0
Murg Malai Tikka,240.0
Tandoori Jhinga,380.0
Egg Pepper Fry,129.0
Egg 65,129.0
Veg Kholapuri,150.0
Veg Thai Green Curry,180.0
Butter Chicken,210.0
Railway Mutton Curry,320.0
Chicken Rara Masala,235.0
Gobi Varuval,175.0
Gobi Manchurian,150.0
Red Dragon Chicken,220.0
Lemon Chicken,220.0
Honey Chilli Potato,139.0
Kung Pao Paneer,210.0
Chicken Sticky Wings,199.0
Curd Rice,99.0
Jeera Rice,105.0
Butter Naan,45.0
Garlic Naan,43.0
Aloo Stuffed Kulcha,80.0
Chapathi,30.0
