names,prices
Chicken Kabab [4 Pieces] with Chicken Roll Shawarma,190.0
Chicken Kabab Combo,320.0
Grilled Chicken Combo,290.0
Mandi with Grill,270.0
Chicken Lollipop [8 Pieces],230.0
Veg Tikka Masala,155.0
Veg Hydrabadi,140.0
Boneless Butter Chicken,220.0
Chicken Tikka Masala [4 Pieces],230.0
Chicken Tandoori Masala,233.0
Roti,20.0
Butter Roti,25.0
Butter Naan,35.0
Dal Khichdi,140.0
Egg Biryani,165.0
Chicken Biriyani,120.0
Chicken Hakka Noodles,150.0
Chicken Roll Shawarma,80.0
Spicy Chicken Roll Shawarma,85.0
Chicken Plate Shawarma,160.0
