names,prices
Single Egg Paneer Roll,65.0
Chicken Roll,80.0
Double Egg Chicken Roll,90.0
Double Egg Double Chicken Roll,110.0
Chicken Keema Roll,90.0
Potato Roll,40.0
Single Egg Roll,40.0
Double Egg Roll,50.0
Egg Potato Roll,50.0
Double Egg Potato Roll,60.0
Double Egg Double Potato Roll,70.0
Paneer Roll,60.0
Double Paneer Roll,80.0
Paneer Keema Roll,60.0
Double Paneer Keema Roll,85.0
Single Egg Paneer Roll,65.0
Double Egg Paneer Roll,70.0
Double Egg Double Paneer Roll,90.0
Single Egg Paneer Keema Roll,70.0
Double Egg Double Paneer Keema Roll,90.0
Mushroom Roll,60.0
Double Mushroom Roll,70.0
Single Egg Mushroom Roll,60.0
Double Egg Mushroom Roll,70.0
Double Egg Double Mushroom Roll,80.0
Chicken Roll,80.0
Double Chicken Roll,100.0
Single Egg Chicken Roll,85.0
Double Egg Chicken Roll,90.0
Double Egg Double Chicken Roll,110.0
Chicken Keema Roll,90.0
Double Chicken Keema Roll,100.0
Single Egg Chicken Keema Roll,95.0
Double Egg Chicken Keema Roll,100.0
Double Egg Double Chicken Keema Roll,120.0
