names,prices
McSpicy Chicken Burger + Veg Pizza McPuff,161.9
McSpicy Chicken Burger,163.8
2 McSpicy Chicken Burger + Coke (L),313.32
McSpicy Fried Chicken - One Pc,117.14
American Cheese Supreme - Chicken + Fries (R),159.04
Mexican Cheesy Fries,121.9
McSpicy Chicken Burger + Veg Pizza McPuff,161.9
McChicken Burger + Fries (L),207.62
2 Cappuccino,188.58
Hashbrown,40.0
McChicken Burger,118.1
McSaver Chicken Maharaja Mac Meal,333.34
Duet box,332.38
McSpicy Chicken Meal (L),318.08
Sausage McMuffin,101.9
McSaver McSpicy Chicken Meal,292.38
McCafe-Iced Americano,141.9
Sausage with Egg McMuffin 3 Pc Meal,244.76
McAloo Tikki Burger,46.66
Sausage &amp; Egg McMuffin,115.24
McChicken Meal (R),226.66
Egg &amp; Cheese McMuffin,74.28
Big Spicy Chicken Wrap,204.76
American Cheese Chicken Double Patty Burger,204.76
Two Fries (R),99.04
Big Spicy Paneer Wrap,194.28
Chicken Kebab Burger + Fries (L),192.38
McSaver Chatpata Naan - Aloo Meal,190.48
Chicken Maharaja Mac,219.04
McSpicy Paneer Burger,159.04
Veg Maharaja Mac,209.52
Rice Three pc Meal,199.04
4 McAloo Tikki + 2 Fries (M) + Coke (M),419.06
2 McAloo Tikki + 2 American Veg + 2 Fries (M) + 2 Coke (M),637.14
4 American Cheese Supreme Veg + 2 Fries (M) + 2 Coke (M),780.0
4 American Cheese Supreme Chicken + 2 Fries (M) + 2 Coke (M),845.72
McSpicy Chicken + American Cheese Supreme + McChicken + Chicken Maharaja + 3 Fries (L),903.8
McChicken + McVeggie + Fries (L) + 2 Veg Pizza McPuff + Coke (M),475.24
2 McVeggie + 2 American Cheese Supreme Veg + 2 Fries (L),627.62
Veg Maharaja Mac + Chicken Maharaja Mac + Fries (L) + 2 Veg Pizza McPuff + Coke (M),637.14
2 American Cheese Supreme Chicken + Chicken McNuggets 6 Pc + 2 Fries (L) + Coke (M),675.24
McChicken Combo,503.82
2 McAloo Tikki + 2 Fries (L),294.28
McSpicy Chicken Combo,580.0
2 American Cheese Supreme Veg + 2 Veg Pizza McPuff + 2 Fries (L) + Coke (M),589.52
2 McSpicy Paneer + 2 Veg Pizza McPuff + 2 Fries (L) + Coke (M),665.72
McSpicy Paneer + McSpicy Chicken + 2 Fries (L) + Coke (M),589.52
McSpicy Paneer + American Cheese Supreme + McVeggie + Veg Maharaja + 3 Fries (L),856.19
McSpicy Fried Chicken - One Pc,117.14
McSpicy Fried Chicken - Two Pc,213.34
McSpicy Fried Chicken - Five Pc,395.24
McSaver American Cheese Supreme - Chicken Meal,263.82
McSaver American Cheese Supreme - Chicken Meal With Whole Wheat Bun,273.34
McSaver American Cheese Supreme - Veg Meal,246.66
McSaver American Cheese Supreme - Veg Meal With Whole Wheat Bun,256.2
McSaver Big Spicy Chicken Wrap Meal,333.34
McSaver Big Spicy Paneer Wrap Meal,322.86
McSaver Chatpata Naan - Aloo Meal,190.48
McSaver Chicken Chatpata Kebab Naan Meal,206.66
McSaver Chicken Kebab Burger Meal With Whole Wheat Bun,219.05
McSaver Chicken Kebab Meal,209.52
McSaver Chicken Maharaja Mac Meal,333.34
McSaver McSpicy Paneer Meal,287.62
McSaver McVeggie Meal,232.38
McSaver Veg Maharaja Mac Meal,322.86
McSaver McChicken Meal,246.66
McSaver McSpicy Chicken Meal,292.38
McSaver Mexican McAloo Tikki Burger Meal With Whole Wheat Bun,191.44
2 American Cheese Supreme Veg + Coke (L),237.14
2 (6 Pc Nuggets) + Coke (M),237.14
2 McSpicy Chicken Burger + Coke (L),313.32
2 Cappuccino,188.58
2 Iced Coffee,188.58
McVeggie + McAloo Tikki Burger,126.66
McSpicy Chicken Burger + Veg Pizza McPuff,161.9
McVeggie Burger + Veg Pizza McPuff,111.42
2 McVeggie + 2 McAloo Tikki + 2 Fries (M) + 2 Strawberry Shakes,733.32
2 American Cheese Supreme Chicken + 2 Fries (L) + 2 Chocolate Shakes,752.36
Masala McEgg Double Patty Meal (R),165.72
American Cheese Supreme - Chicken Meal (L),299.04
McVeggie Large Meal,258.08
American Cheese Supreme - Veg Meal (L),272.38
American Cheese Supreme - Veg Meal (R),226.66
American Cheese Supreme - Veg Meal With Whole Wheat Bun (L),281.9
American Cheese Supreme - Veg Meal With Whole Wheat Bun (R),236.2
Chatpata Naan - Aloo Meal (R),170.48
Chicken Chatpata Kebab Naan Meal (R),186.66
Chicken Kebab Burger Large Meal,235.22
McAloo Tikki Double Patty Meal (M),193.34
McAloo Tikki Double Patty Meal (R),173.34
McAloo Tikki Meal (L),200.94
McAloo Tikki Meal (M),175.24
McAloo Tikki Meal (R),155.24
Mexican McAloo Tikki Burger Meal With Whole Wheat Bun (L),217.14
Mexican McAloo Tikki Burger Meal With Whole Wheat Bun (R),171.43
McSpicy Paneer Meal (L),313.32
McSpicy Paneer Meal (R),267.62
Chicken Maharaja Mac Meal (L),359.04
Chicken Maharaja Mac Meal (R),313.34
Veg Maharaja Mac Meal (L),348.56
Veg Maharaja Mac Meal (R),302.86
McChicken Meal (L),272.38
McChicken Meal (R),226.66
McChicken Meal With Whole Wheat Bun (L),281.9
McChicken Double Patty Meal (L),331.42
Big Spicy Paneer Wrap Meal (L),348.56
Big Spicy Chicken Wrap Meal (L),359.04
McSpicy Chicken Double Patty Meal (L),366.66
Chicken Kebab Double Patty Meal (M),251.44
Chicken Kebab Double Patty Meal (R),233.34
