names,prices
Special Puri,230.0
Veg Meal Box,210.0
Kadhi Pakoda,110.0
Student Meal Box 1,190.0
Students Meal Box 2,200.0
Special Tawa Roti Meal Box,250.0
Aloo Methi,110.0
5 Tawa Roti with Chana Masala,170.0
5 Tawa Roti with Dal fri,150.0
3 plain Paratha with chana masala [1 piece]gulab jamun,190.0
Student Meal Box 1,190.0
Students Meal Box 2,200.0
Veg Meal Box,210.0
Special Tawa Roti Meal Box,250.0
Special Veg Meal Box,240.0
Tawa Roti [5 Roti] with Daily Special Sabji and Salad,220.0
5 Tawa Roti with Rajma,170.0
Ghar wali Dal Roti and Sabji Combo,180.0
Aloo Matar,110.0
Kadhi Pakoda,110.0
Chhole,120.0
Aloo Jeera,110.0
Aloo Methi,110.0
Ghar wali dal,100.0
Rajma Rice,240.0
Kadhi Rice,240.0
Plain Rice,60.0
Butter Tawa Roti,30.0
Tawa Roti,25.0
Plain Paratha,50.0
Gobi cheese paratha,130.0
Ajwain Parotta,80.0
Mix Paratha,100.0
Paneer Mix Paratha,120.0
Special Puri,230.0
Double Chhole Kulche,260.0
Dahi,40.0
Boondi Raita,80.0
Onion Tomato Raita,80.0
Kolkata Special Gulab Jamun [1 Piece],15.0
Kolkata Special Gulab Jamun [3 Pieces],40.0
Suzi Halwa,50.0
Special sweet lassi,100.0
Special Buttermilk,80.0
