names,prices
Mysore Masala Dosa,85.71
Vada,28.57
Masala Dosa,76.19
Poori [3 Pieces],76.19
Kesari Bhath,66.67
Idli [1 Piece],23.81
Set Dosa,66.67
Open Butter Masala Dosa,95.24
Bisi Bele Bhath,76.19
Cheese Masala Dosa,85.71
Grilled Cheese Sandwich,95.24
Butter Masala Dosa,85.71
Plain Dosa,57.14
Pudi Masala Dosa,76.19
Grilled Veg Sandwich,85.72
Rava Idli [1 PC],57.14
Moode,38.1
Butter Plain Dosa,76.19
Club Sandwich,133.33
Carrot Halwa,66.67
Watermelon Juice,76.19
Bread Butter Jam Sandwich,47.62
Kesari Bhath,66.67
Bisi Bele Bhath,76.19
Poori [3 Pieces],76.19
Idli [1 Piece],23.81
Moode,38.1
Vada,28.57
Rava Idli [1 PC],57.14
Plain Dosa,57.14
Masala Dosa,76.19
Set Dosa,66.67
Pudi Masala Dosa,76.19
Mysore Masala Dosa,85.71
Open Butter Masala Dosa,95.24
Butter Plain Dosa,76.19
Butter Masala Dosa,85.71
Cheese Masala Dosa,85.71
Cheese Plain Dosa,76.19
Tuppa Dosa,85.71
Bread Butter Jam Sandwich,47.62
Grilled Veg Sandwich,85.72
Club Sandwich,133.33
Grilled Cheese Sandwich,95.24
Paneer Tikka Sandwich,123.81
Buns,60.0
Carrot Halwa,66.67
Gulab Jamun,38.1
Watermelon Juice,76.19
Gudbud,142.86
Chocolate Milkshakes,85.71
Strawberry Milkshake,85.71
Oreo Milkshake,104.76
Lassi Sweet,85.71
Butter Milk,66.67
Cold Coffee,95.24
