names,prices
Tandoori Onion Pizza,179.0
Double Cheese Pizza,229.0
Garlic Bread Cheese,139.0
Pasta My Box @249,249.0
2 Medium Pizzas @ Rs 299 Each Rs.598,598.0
2 Non Veg Medium Pizzas @ Rs 299 Each Rs.598,598.0
Pasta My Box @249,249.0
Hut Treat- Meal for 4 Veg @ 899 - [Save Upto 49%],899.0
Hut Treat- Meal for 4 Non Veg @ 999 [Save Upto 45%],999.0
Hut Treat- Meal for 2 Veg @ 509 [Save Upto 40%],509.0
Hut Treat- Meal for 2 Non Veg @ 559 - [Save upto 38%],559.0
Funtastic4 - Veg,549.0
Funtastic4 - Non Veg,599.0
Spanish Tomato Veg Meal: Rs. 229,229.0
Chicken Lovers Fest @ 584 [Save Upto 40%],584.0
My Box veg @ Rs 199,199.0
My Box veg @ Rs 239,239.0
My Box veg @ Rs 259,259.0
My Box veg @ Rs 279,279.0
My Box veg @ Rs 299,299.0
My Box Non veg @ Rs 259,259.0
My Box Non veg @ Rs 279,279.0
My Box Non veg @ Rs 299,299.0
My Box Non veg @ Rs 319,319.0
Margherita Pizza,149.0
Corn &amp; Cheese pizza,179.0
Double Cheese Pizza,229.0
Veggie Feast Pizza,229.0
Spiced Paneer Pizza,229.0
Tandoori Onion Pizza,179.0
Veggie Tandoori Pizza,229.0
Tandoori Paneer Pizza,299.0
Veggie Lover Pizza,299.0
Farmer's Pick Pizza,299.0
Country Feast Pizza,299.0
Veg Kebab Surprise Pizza,299.0
Veggie Supreme Pizza,369.0
Veg Exotica Pizza,369.0
Chicken Sausage Pizza,229.0
Chicken Pepperoni Pizza,299.0
Spiced Chicken Meatballs Pizza,269.0
Chicken N Corn Delight	Pizza,299.0
Chicken Tikka Pizza,369.0
Malai Chicken Tikka Pizza,369.0
Chicken Supreme Pizza,399.0
Triple Chicken Feast Pizza,399.0
Chicken Tikka Supreme,399.0
Garlic Bread Cheese,139.0
Spicy Supreme Garlic Bread,149.0
Garlic Bread Sticks,139.0
Creamy Garlic Bread Stick,159.0
Zesty Paneer Pocket,99.0
Spicy Baked Chicken Wings,199.0
Zesty Chicken Pocket,119.0
Spiced Tomato Twist,199.0
Creamy Mushroom Pasta,299.0
Cheesy Comfort,219.0
Chicken Spiced Tomato Twist,229.0
Chicken Cheesy Comfort,249.0
Choco Volcano,99.0
Pepsi,60.0
7up,60.0
Mirinda,60.0
Mineral Water [1 litre],50.0
