names,prices
Gobi Ginger With Veg Sherpa Noodles,205.0
Chicken Manchurian With Chicken Manchurian Fried Rice,220.0
Chicken Singapore Fried Rice With Chicken Garlic Fried Rice,225.0
Chicken Crispy With Chicken Singapore Fried Rice,230.0
Gobi Chilly +Veg Triple Fried Rice,195.0
Gobi Ginger With Veg Sherpa Noodles,205.0
Chicken Manchurian With Chicken Manchurian Fried Rice,220.0
Paneer Schezwan With 2 Veg Shanghai Fried Rice,300.0
Chicken Singapore Fried Rice With Chicken Garlic Fried Rice,225.0
Chicken Crispy With Chicken Singapore Fried Rice,230.0
Veg Manchow Soup,65.0
Veg Hot and Sour Soup,65.0
Veg Schezwan Soup,70.0
Veg Clear Soup,70.0
Veg Noodle Soup,80.0
Chicken Manchow Soup,80.0
Chicken Hot and Sour Soup,80.0
Chicken Schezwan Soup,85.0
Chicken Hong Kong Soup,85.0
Chicken Clear Soup,85.0
Chicken Noodles Soup,85.0
Chicken Hungry Special Soup,90.0
Gobi Manchuraiann,80.0
Gobi Chilli,90.0
Gobi Manchurian,80.0
Gobi Chilly,90.0
Gobi Garlic,90.0
Gobi Schezwan,90.0
Gobi Hong Kong,90.0
Gobi Crispy,95.0
Chilly Potato,95.0
Paneer Manchurian,115.0
Paneer Chilly,115.0
Paneer Garlic,125.0
Paneer Schezwan,125.0
Paneer Crispy,130.0
Paneer 65,130.0
Crispy Fried Chicken,125.0
Chicken Taify,115.0
Chicken Manchurian,110.0
Chicken Chilly,110.0
Chicken Hong Kong,110.0
Chicken Schezwan,110.0
Chicken Garlic,115.0
Chicken Ginger,115.0
Chicken Crispy,115.0
Chicken 65,115.0
Chicken Kabab,90.0
Chicken Lollipop,90.0
Chicken Lollipop Gravy,110.0
Chicken Masala Lollipop Dry,130.0
Veg Crispy Rice,135.0
Veg Fried Rice,80.0
Veg Schezwan Fried Rice,90.0
Veg Manchurian Fried Rice,95.0
Veg Garlic Fried Rice,95.0
Veg Triple Fried Rice,105.0
Veg Hungry Fried Rice,115.0
Veg Thousand Fried Rice,130.0
Veg Red Kitchen Special Fried Rice,140.0
Paneer Fried Rice,110.0
Paneer Schezwan Fried Rice,115.0
Paneer Manchurian Fried Rice,125.0
Veg Chinese Chopsuey,115.0
Veg CrispyNoodles,135.0
Veg Hakka Noodles,80.0
Veg Schezwan Noodles,90.0
Veg Singapore Noodles,90.0
Veg Hong Kong Noodles,90.0
Veg Manchurian Noodles,95.0
Veg Triple Noodles,105.0
Veg Chilly Garlic Noodles,115.0
Veg Red Kitchen Special Noodles,140.0
Egg Fried Rice,90.0
Egg Schezwan Fried Rice,105.0
Egg Manchurian Fried Rice,110.0
Egg Garlic Fried Rice,110.0
Egg Triple Fried Rice,115.0
Egg Malaysian Fried Rice,175.0
Egg Hakka Noodles,90.0
Egg Manchurian Noodles,110.0
Egg Chilly Garlic Noodles,130.0
Chicken Tiranga Rice,145.0
Chicken Crispy Rice,160.0
Chicken Fried Rice,90.0
Chicken Schezwan Fried Rice,115.0
Chicken Shanghai Fried Rice,115.0
Chicken Singapore Fried Rice,115.0
Chicken Manchurian Fried Rice,110.0
Chicken Garlic Fried Rice,110.0
Chicken Triple Fried Rice,115.0
Chicken Hungry Fried Rice,150.0
Chicken Sherpa Fried Rice,150.0
Chicken Peking Fried Rice,150.0
Chicken Thousand Fried Rice,140.0
Chicken Red Kitchen Special Fried Rice,185.0
Chicken Chinese Bhel,130.0
Chicken American Chopsuey,130.0
Chicken Chinese Chopsuey,130.0
Chicken Crispy Noodles,160.0
Chicken Hakka Noodles,90.0
Chicken Schezwan Noodles,105.0
Chicken Singapore Noodles,105.0
Chicken Hong Kong Noodles,105.0
Chicken Ginger Noodles,105.0
Chicken Manchurian Noodles,110.0
Chicken Garlic Noodles,110.0
Chicken Triple Noodles,115.0
Chicken Hungry Noodles,150.0
Chicken Sherpa Noodles,150.0
Chicken Peking Noodles,150.0
Chicken Chilly Garlic Noodles,130.0
Chicken Thousand Noodles,140.0
Chicken Butter Garlic Noodles,140.0
Chicken Red Kitchen Special Noodles,185.0
Chicken Chouppt Noodles,155.0
