names,prices
Chicken Biryani,110.0
Chicken Chilli,135.0
Liver Chilli,100.0
Chicken Sukka,150.0
Paneer Chilli Manchurian,100.0
Egg Biryani,80.0
Gobi Chilli,72.0
Chicken Fried Rice,110.0
Liver Sukka,100.0
Egg Chilli,85.0
Chicken Noodles,105.0
Potato Chilli Manchurian,70.0
Gobi Manchurian,65.0
Baby Corn Chilli Manchurian,90.0
Mushroom Noodles,85.0
Chicken Salt and Pepper,160.0
Chicken Masala,155.0
Chicken Schezwan,148.0
Boneless Chicken Chilli,145.0
Chicken Manchurian,145.0
Chicken Kabab,140.0
Liver Pepper,100.0
Veg Manchurian Rice,90.0
Egg Fried Rice,90.0
Egg Schezwan Noodles,90.0
Mushroom Schezwan,90.0
Egg Manchurian,85.0
Mushroom Fried Rice,85.0
Paneer Fried Rice,85.0
Veg Schezwan Rice,75.0
Dal Rice,52.0
Fish Curry Rice,52.0
Veg Manchow Soup,55.0
Veg Hot and Sour Soup,55.0
Veg Noodle Soup,55.0
Chicken Manchow Soup,75.0
Chicken Noodle Soup,70.0
Gobi Manchurian,65.0
Gobi Chilli,72.0
Baby Corn Chilli Manchurian,90.0
Paneer Pepper,100.0
Paneer Chilli Manchurian,100.0
Paneer Schezwan,100.0
Baby Corn Schezwan,90.0
Mushroom Schezwan,90.0
Mushroom Chilli Manchurian,90.0
Potato Chilli Manchurian,70.0
Chilli Manchurian,70.0
Soya Manchurian,70.0
Egg Chilli,85.0
Egg Manchurian,85.0
Boneless Chicken Chilli,145.0
Chicken Chilli,135.0
Chicken Manchurian,145.0
Chicken Schezwan,148.0
Chicken Kabab,140.0
Chicken Hyderabadi,150.0
Chicken Salt and Pepper,160.0
Liver Chilli,100.0
Liver Pepper,100.0
Liver Sukka,100.0
Chicken Masala,155.0
Chicken Sukka,150.0
Egg Biryani,80.0
Chicken Biryani,110.0
Veg Fried Rice,70.0
Veg Schezwan Rice,75.0
Veg Singapore Rice,75.0
Paneer Fried Rice,85.0
Mushroom Fried Rice,85.0
Veg Mixed Fried Rice,95.0
Veg Manchurian Rice,90.0
Egg Fried Rice,90.0
Egg Schezwan Rice,90.0
Chicken Fried Rice,110.0
Chicken Schezwan Rice,110.0
Chicken Manchurian Rice,115.0
Veg Hakka Noodles,70.0
Veg Schezwan Noodles,70.0
Veg Singapore Noodles,70.0
Paneer Noodles,85.0
Mushroom Noodles,85.0
Veg Mixed Noodles,95.0
Chinese Chopsuey,90.0
Chinese Schezwan Chopsuey,90.0
Egg Noodles,90.0
Egg Schezwan Noodles,90.0
Chicken Noodles,105.0
Chicken Schezwan Noodles,105.0
Chicken Singapore Noodles,105.0
Chinese Bhel,85.0
