names,prices
Mixed Veg Pizza [6 inches],110.0
Aloo Tikki Burger,50.0
Gadbad Sundae,100.0
Popular Burger,55.0
Veg Sandwich,40.0
Chocolate Truffle Ice Cream Cake Pastry,75.0
Belgium Dark Chocolate Ice Cream [1 Scoop],60.0
Fruit Salad Sundae,60.0
Fresh Lime with Soda Juice,25.0
Chilli Maggi,50.0
Burger with Vanilla Milkshake,139.0
Sandwich with French Fries,109.0
Sandwich with Milkshake,129.0
Mixed Veg Pizza [6 inches],110.0
Aloo Tikki Burger,50.0
Popular Burger,55.0
Egg Burger,55.0
Veg Sandwich,40.0
Double Veg Sandwich,50.0
Double Egg Sandwich,60.0
Chilli Maggi,50.0
Mixed Veg Momos [6 Pieces],95.0
Chicken Momos [6 Pieces],105.0
French Fries,70.0
Piri Piri French Fries,80.0
Nuggets [8 Pieces],70.0
Aloo Tikki [2 Pieces],45.0
Chocolate Truffle Ice Cream Cake Pastry,75.0
Black Forest Ice Cream Cake Pastry,80.0
Fruit Salad Sundae,60.0
Gadbad Sundae,100.0
Banana Split Sundae,100.0
Special Gadbad Sundae,130.0
Choco Blast Sundae,95.0
Belgium Dark Chocolate Ice Cream [1 Scoop],60.0
Watermelon Lemonade,40.0
Fresh Lime with Soda Juice,25.0
