names,prices
Chicken Pizza,170.0
Chicken Mexican Wrap,145.0
Paneer Tikka Wrap,120.0
Chicken Burger,100.0
Peri Peri Fries,60.0
French Fries,50.0
Paneer Pizza,180.0
Oreo Milkshake,110.0
Peanut Butter Milkshake,100.0
Snickers Milkshake,110.0
Belgium Chocolate Milkshake,120.0
Mango Milkshake,100.0
Cold Coffee with Ice Cream,130.0
Oreo Milkshake with Ice Cream,130.0
Belgium Chocolate Milkshake with Ice Cream,120.0
Paneer Pizza,180.0
Margherita Pizza,160.0
Chicken Pizza,170.0
Chicken Roasted Pizza,190.0
Chicken Tikka Pizza,180.0
Veg Burger,100.0
Cheese Burger,120.0
Paneer Tikka Burger,130.0
Egg Burger,90.0
Chicken Burger,100.0
Chicken Tikka Burger,135.0
Chicken Crispy Supreme Burger,150.0
Chicken Mexican Supreme Burger,175.0
Chicken Crispy Double Burger,200.0
Chicken Loaded Burger,200.0
Chicken Crispy Burger,130.0
Veg Sandwich,80.0
Egg Sandwich,70.0
Chicken Crispy Sandwich,100.0
Paneer Tikka Sandwich,100.0
Veg Wrap,100.0
Paneer Tikka Wrap,120.0
Egg Wrap,80.0
Chicken Crispy Wrap,120.0
Chicken Tikka Wrap,140.0
Chicken Mexican Wrap,145.0
French Fries,50.0
Peri Peri Fries,60.0
Chicken Strips [4 Pieces],175.0
Chicken Pops [15 Pieces],135.0
Chicken Nuggets [6 Pieces],110.0
