names,prices
Crispy Lollipop,185.0
Tender coconut juice,80.0
Potato Lovers,115.0
Chicken Fried Wonton,150.0
Chicken Lollipop,175.0
Chicken Lovers,230.0
Shack Fried Chicken,175.0
Chicken Sausage Pepper Fry,200.0
Butter Garlic Pepper Chicken,210.0
Crispy Lollipop,185.0
Veg Dumpling Noodles Soup,175.0
Chicken Kway Teow Soup,185.0
Chicken Dumpling Noodles Soup,185.0
Chicken Mama's Hot Pot Soup,210.0
Chinese Salad,150.0
Shack Special Chowmein Meal,230.0
Chicken Pepper Steak Meal,230.0
Meatball Spaghetti Meal,210.0
Veg Wonton Chowmein Combo,210.0
Chicken Rainbow Rooster Rice Combo,220.0
Chicken Rainbow Rooster Noodles Combo,220.0
Chicken Kai Manchurian Rice Combo,220.0
Chicken Thai Connection Noodles Combo,220.0
Chicken Wonton Chowmein Combo,220.0
Chicken Malay Mystery Noodles Combo,230.0
Chicken China Town Rice Combo,230.0
Paneer Masala,159.0
Chicken Keema Masala,159.0
Veg Noodles,140.0
Veg Schezwan Noodles,140.0
Veg Chinese Chopsuey,160.0
Chicken Fried Rice,160.0
Chicken Noodles,160.0
Chicken Schezwan Rice,160.0
Chicken Schezwan Noodles,160.0
Chicken Chilli Noodles,180.0
Chicken American Chopsuey,190.0
Chicken Chinese Chopsuey,180.0
Sausage Schezwan Rice,180.0
Sausage Schezwan Noodles,180.0
Sausage Steamed Noodles,200.0
Paneer Masala,189.0
Chicken Keema Masala,189.0
Plain Omelette,70.0
French Fries,100.0
Fish N Chips,210.0
Mushroom in Choice of Sauce,180.0
Capsicum Pizza,135.0
Paneer Pizza,150.0
Mushroom Pizza,150.0
Baby Corn Pizza,150.0
Green Devil Pizza,165.0
Zen Garden Pizza,165.0
BBQ Bistro Pizza,185.0
Sausage Pizza,160.0
Paneer Burger,90.0
Aloo Tikki Burger,100.0
Chutney Mary Burger,130.0
Valentino Burger,130.0
Chicken Burger,100.0
Spicy Chicken Burger,110.0
Chicken Supreme Burger,140.0
Chic Chicago Burger,145.0
Jack Shack Burger,160.0
Grilled Veg Masala Sandwich,75.0
Grilled Cheese Sandwich,90.0
Tomato Cheese Sandwich,70.0
Grilled Mash Potato Cheese Sandwich,90.0
Grilled Paneer Sandwich,100.0
Grilled Mushroom Sandwich,100.0
Grilled Egg Sandwich,70.0
Grilled Chicken Sandwich,100.0
Weat Parota,15.0
Chapathi,10.0
Neer Dosa,10.0
Chicken Shack Roll,185.0
Veg Frankie,90.0
Paneer Frankie,115.0
Mushroom Frankie,115.0
Chicken Frankie,115.0
Kabab Frankie,125.0
Sausage Frankie,140.0
Hot Chilli Dog,125.0
Hot Dog King,125.0
Veg Momos,150.0
Chicken Momos,150.0
Hot Choco Fudge Sundae,125.0
Death By Chocolate Sundae,180.0
Lychee Lover Sundae,190.0
More Than A Cake Sundae,190.0
Kiss of Heaven Sundae,190.0
Cold Coffee Milkshake,100.0
Coffee Chocolate Milkshake,110.0
Pomegranate Milkshake,110.0
Fresh Fruits with Yoghurt Milkshake,125.0
Oreo Milkshake,125.0
Fresh Lime Juice,65.0
Mist of Garden Juice,65.0
Mint Lime Juice,95.0
Watermelon Juice,85.0
Orange Juice,95.0
Green Grape Juice,95.0
Liver Boost Juice,95.0
Tender coconut juice,80.0
