names,prices
Roasted Chicken Strips Sub,223.81
Paneer Tikka Sub,204.76
Roasted Chicken Strips Signature Wrap,271.43
Subway Club™ Sub,238.1
"Veg Sub with Chips Combo [15 cm, 6 inches]",190.48
Veggie Delite™ Subs,176.19
Double Dark Chunk Chocolate Cookie [1 Piece],52.38
Chatpata Chana Snacks Wraps,76.19
Nachos Sizzling Jalapenos,30.0
Dark Chunk Chocolate Cookie [1 Piece],52.38
"Turkey Sub [15 cm, 6 inches] + Subway Club Sub [15 cm, 6 inches] Combo",429.0
"BMT Sub [15 cm, 6 inches] + Turkey and Chicken Slice Sub [15 cm, 6 inches] Combo",429.0
"Turkey Sub [15 cm, 6 inches] + Subway Club Sub [15 cm, 6 inches] Combo",429.0
"BMT Sub [15 cm, 6 inches] + Turkey and Chicken Slice Sub [15 cm, 6 inches] Combo",429.0
Chatpata Chana Sub,185.71
Tandoori Tofu Sub,204.76
Peri Peri Chicken Sub,223.81
Roasted Chicken Strips Sub,223.81
Tandoori Chicken Tikka Sub,223.81
Fusion Veg Sandwich,252.38
Fusion Non Veg Sandwich,309.52
Fusion Non Veg Signature Wrap,309.52
"Veg Sub with Cookie Combo [15 cm, 6 inches]",228.57
"Non Veg Sub with Cookie Combo [15 cm, 6 inches]",276.19
Veg Signature Wrap with Cookie Combo,295.24
"Veg Sub with Chips Combo [15 cm, 6 inches]",190.48
"Veg Sub with Snack Wrap Combo [15 cm, 6 inches]",252.38
"Non Veg Sub with Snack Wrap Combo [15 cm, 6 inches]",300.0
Veggie Delite™ Subs,176.19
Mexican Patty Sub,185.71
Hara Bhara Patty,185.71
Veg Seekh Sub,185.71
Veg Shammi Sub,204.76
Aloo Patty Sub,204.76
Paneer Tikka Sub,204.76
Corn and Peas Sub,204.76
Chicken Kofta Sub,223.81
Chicken Slices Sub,223.81
Roasted Chicken Strips Sub,223.81
Chicken Teriyaki Sub,238.1
Turkey Sub,238.1
Turkey Breast and Chicken Slices Sub,238.1
Italian B.M.T.™ Sub,238.1
Subway Club™ Sub,238.1
Tuna Sub,238.1
Veggie Delite™ Signature Wrap,242.86
Hara Bhara Patty Signature Wrap,242.86
Paneer Tikka Signature Wrap,242.86
Tandoori Tofu Signature Wrap,242.86
Chicken Kofta Signature Wrap,271.43
Roasted Chicken Strips Signature Wrap,271.43
Tandoori Chicken Tikka Signature Wrap,271.43
Italian B.M.T.™ Signature Wrap,271.43
Tuna Signature Wrap,271.43
Turkey Breast and Chicken Slices Signature Wrap,271.43
Subway Club™ Signature Wrap,271.43
Peri Peri Chicken Signature Wrap,271.43
Veggie Delite Salad,242.86
Chatpata Chana Salad,242.86
Mexican Patty Salad,242.86
Hara Bhara Kebab Salad,242.86
Veg Seekh Salad,242.86
Paneer Tikka Salad,261.9
Corn and Peas Salad,261.9
Chicken Kofta Salad,280.95
Tandoori Chicken Tikka Salad,280.95
Chicken Slice Salad,280.95
Roasted Chicken Strips Salad,280.95
Peri Peri Chicken Salad,280.95
Chicken Teriyaki Salad,295.24
Subway Club Salad,295.24
Tuna Salad,295.24
Veggie Toastie,71.43
Pepperoni Toastie,90.48
Veg Shammi Snacks Wraps,76.19
Chatpata Chana Snacks Wraps,76.19
Chicken Kofta Snacks Wraps,95.24
Chicken Strips Snacks Wraps,95.24
Classic Salted Lays,19.05
Nachos Sizzling Jalapenos,30.0
Nachos Cheese and Herbs,30.0
Dark Chunk Chocolate Cookie [1 Piece],52.38
Double Dark Chunk Chocolate Cookie [1 Piece],52.38
Oatmeal Raisin Cookie [1 Piece],52.38
Aquavess Water [500 ml],30.0
