names,prices
Belgian Milk Chocolate Waffle,145.7
Maple Butter Waffle,107.62
Triple Chocolate Waffle,165.7
Biscoff Milky Way Waffle,155.2
Triple Chocolate Waffle + Belgian Chocolate Shake [Combo for 2],327.0
Honey Butter Waffle,107.62
Maple Butter Waffle,107.62
Strawberry Cream Cheese Waffle,155.2
Blueberry Cream Cheese Waffle,164.8
Belgian Milk Chocolate Waffle,145.7
Belgian Dark Chocolate Waffle,145.7
Coffee Mocha Waffle,145.7
Kit Kat Waffle,155.2
Milk Chocolate Overload Waffle,155.2
Dark Chocolate Overload Waffle,155.2
Dark and White Fantasy Waffle,155.2
Triple Chocolate Waffle,165.7
Biscoff Milky Way Waffle,155.2
Red Velvet Waffle,155.2
Pink Almond Crunch Waffle,145.7
Almond Cocoa Butter Waffle,165.7
Peanut Butter Waffle,145.7
Chocolate Ice Cream and Fudge Sundae,165.7
Vanilla Ice Cream and Fudge Sundae,165.7
Rocky Road Sundae,184.8
Chocolate Mini Waffle Combo Pack Of 4,309.52
Chocolate Mini Waffle Combo Pack Of 6,456.19
Belgian Chocolate Shake,161.0
Oreo Shake,161.0
Blueberry White Chocolate Shake,180.0
Signature Cold Coffee,130.5
Lemon Iced Tea,103.8
Peach Iced Tea,103.8
Berry Lemonade,130.5
