names,prices
Vanilla Gulab Jamun Jar Cake,159.0
Gooey Truffle Brownie,89.0
Walnut Brownie,89.0
Choco Lava Cake,79.0
Red Velvet Jar Cake,139.0
Red Velvet Jar Cake,139.0
Chocolate Truffle Jar Cake,129.0
Black Forest Jar Cake,129.0
Butterscotch Jar Cake,129.0
Blueberry Jar Cake,139.0
Creamy Chocolate Jar Cake,139.0
Vanilla Gulab Jamun Jar Cake,159.0
Black Forest Cake (250 gms),239.0
Vanilla Cupcakes,104.0
Fresh Pineapple Cake - Egg,449.0
Choco Lava Cake,79.0
Walnut Brownie,89.0
Gooey Truffle Brownie,89.0
Assorted chocolates Pack of 5,109.0
