names,prices
Tandoori Chicken,275.0
Chicken Tikka Pot Tawa Biryani,350.0
Chicken Biryani,265.0
Chicken Malai Kabab [8 Pieces],300.0
Mutton Biryani,340.0
Paneer Tikka Masala,285.0
Paneer Tikka [8 Pieces],275.0
Paneer Pot Tawa Biryani,275.0
Paneer Butter Masala,250.0
Dal Khichdi,175.0
Butter Chicken,315.0
Chicken Tikka [8 Pieces],280.0
Chicken Hyderabadi Biryani,275.0
Kaju Masala,275.0
Veg Pot Tawa Biryani,250.0
Chicken Pulao,250.0
Veg Biryani,200.0
Ghr wali Dal Khichdi with Roasted Papad,200.0
Baingan Bharta,200.0
Chana Masala,200.0
Mutton Paya Soup,185.0
Curd,85.0
Chicken Keema Rice,290.0
Cream of Tomato Soup,125.0
Veg Sweet Corn Soup,125.0
Cream of Chicken Soup,150.0
Chicken Manchow Soup,160.0
Chicken Royal Soup,160.0
Mutton Paya Soup,185.0
Mini Salad,75.0
Aloo Tikka [8 Pieces],215.0
Paneer Tikka [8 Pieces],275.0
Paneer Malai Tikka [8 Pieces],275.0
Veg Platter Kabab [15 Pieces],430.0
Chicken Tikka [8 Pieces],280.0
Tandoori Chicken,275.0
Chicken Pahadi Kabab [8 Pieces],285.0
Chicken Malai Kabab [8 Pieces],300.0
Chef's Special Chicken Pot Dum Tikka [8 Pieces],350.0
Non Veg Tandoori Platter [15 Pieces],685.0
Chicken Pepper Roast,315.0
Red Mutton Tawa Fry,400.0
Dal Fry,150.0
Dal Tadka,160.0
Dal Makhani,200.0
Paneer Butter Masala,250.0
Paneer Kadai,250.0
Palak Paneer,250.0
Paneer Kofta,265.0
Paneer Tikka Masala,285.0
Chana Masala,200.0
Rajma Masala,200.0
Baingan Bharta,200.0
Veg Kolhapuri,225.0
Mushroom Masala,240.0
Dum Aloo Kashmiri,240.0
Kaju Masala,275.0
Chicken Kadai,290.0
Chicken Kolhapuri,290.0
Butter Chicken,315.0
Chicken Tikka Masala,315.0
Chicken Mughlai,290.0
Chicken Shahi Korma,290.0
Chicken Patiala,290.0
Mutton Kadai,375.0
Mutton Rogan Josh,400.0
Roti,40.0
Butter Roti,50.0
Parotta,44.0
Kulcha,50.0
Butter Kulcha,65.0
Aloo Parotta,65.0
Aloo Parotta with Butter,75.0
Methi Parotta with Butter,75.0
Stuffed Kulcha with Butter,75.0
Aloo Kulcha,65.0
Aloo Kulcha with Butter,75.0
Paneer Kulcha,95.0
Paneer Kulcha with Butter,105.0
Garlic Naan,55.0
Garlic Naan with Butter,70.0
Kashmiri Naan with Butter,115.0
Steamed Rice,110.0
Jeera Rice,125.0
Dal Khichdi,175.0
Ghr wali Dal Khichdi with Roasted Papad,200.0
Chicken Pulao,250.0
Veg Biryani,200.0
Egg Biryani,225.0
Chicken Biryani,265.0
Mutton Biryani,340.0
Veg Hyderabadi Biryani,215.0
Chicken Hyderabadi Biryani,275.0
Veg Pot Tawa Biryani,250.0
Paneer Pot Tawa Biryani,275.0
Chicken Pot Tawa Biryani,315.0
Chicken Tikka Pot Tawa Biryani,350.0
Mutton Pot Tawa Biryani,375.0
Gobi Manchurian,215.0
Gobi Chilli,215.0
Veg Manchurian,250.0
Baby Corn Manchurian,265.0
Mushroom Manchurian,265.0
Chicken Butter Garlic,275.0
Baby Corn Schezwan Fried Rice,250.0
Veg Singapore Fried Rice,250.0
Egg Schezwan Fried Rice,265.0
Chicken Schezwan Fried Rice,275.0
Baby Corn Schezwan Noodles,250.0
Veg Dragon Roll [8 Pieces],235.0
Chicken Dragon Roll [8 Pieces],265.0
Mini Green Salad,65.0
Curd,85.0
