names,prices
Barbeque in a Box (Non Veg),899.0
Barbeque in a Box (Veg),799.0
Grills in a Box (Non Veg -OverLoad),699.0
Barbeque in a Box (Non Veg),899.0
Barbeque in a Box (Veg),799.0
Grills in a Box (Non Veg -OverLoad),699.0
My Biryanis &amp; Kebabs Box,899.0
Biryanis &amp; Kebabs Box (Mutton),1099.0
Biryani &amp; Kebabs Box (Chicken),899.0
Biryani &amp; Kebabs Box (Mutton-Regular),779.0
Biryanis &amp; Kebabs Box (Veg),799.0
Meals in a Box (Veg),599.0
Grills in a Box (Veg),499.0
Meals in a Box (Non Veg),699.0
Chicken Tikka-Boneless,279.0
Crispy Corn,149.0
Cajun Spice Potatoes,149.0
BBQ Chicken Wings,259.0
Peri Peri Tangdi (3Pcs),269.0
Punjabi Tangdi (3 Pcs),269.0
Tandoori Paneer Tikka,259.0
Tandoori Fish Tikka,289.0
Grilled Prawns-9 Pcs,299.0
Tandoori Mushroom,229.0
Golden Fried Prawns,299.0
Butter Chicken &amp; Dal Makhani Meal,259.0
Paneer Butter Masala &amp; Dal Makhani Meal,249.0
Mutton Rogan Josh and Dal Makhani Meal,299.0
Mutton Rogan Josh and Butter Chicken Meal,339.0
Dal Makhani &amp; Veg Makhanwala Meal,209.0
Chicken Tikka Biryani,309.0
Paneer Tikka Biryani,269.0
Chicken Biryani,269.0
Mutton Biryani,339.0
Veg Biryani,209.0
Veg Fried Rice,179.0
Flavoured Rice,109.0
Plain Rice,99.0
Fiery Chicken Wings (12 Nos),509.0
Butter Chicken Rice Bowl,219.0
Butter Chicken &amp; Paratha Bowl,219.0
Paneer Butter Masala Rice Bowl,209.0
Paneer Butter Masala &amp; Paratha Bowl,209.0
Chilli Chicken Fried Rice Bowl,209.0
Dal Makhani &amp; Paratha Bowl,179.0
Egg Masala &amp; Paratha Bowl,179.0
Egg Masala Rice Bowl,169.0
Veg Makhanwala &amp; Paratha Bowl,179.0
Chicken Biryani with Coke,309.0
Butter Chicken Rice Bowl with Coke,249.0
Grilled Chicken Tikka with Coke,309.0
Butter Chicken,259.0
Paneer Butter Masala,239.0
Mutton Rogan Josh,309.0
Kadai Chicken,259.0
Kadai Paneer,239.0
Dal Makhani,179.0
Egg Masala,179.0
Butter Naan (1 No),30.0
Plain Kulcha (1 No),25.0
Coke 330Ml,59.0
Packed Drinking Water (1 litre),20.0
Moong Dal Halwa,109.0
Chocolate Brownie,109.0
Angoori Jamun (12 Nos),89.0
