names,prices
Dal Khichdi,105.0
Chana Bhatura,65.0
Jeera Rice with Dal,90.0
Masala Dosa,65.0
Veg Puri Meal,125.0
Veg Chapati Meal,125.0
Pav Bhaji,60.0
Veg Biryani,105.0
2 Idli,45.0
Tomato Rice Bath,90.0
Tomato Pulao,90.0
Mango Milkshake,80.0
Curd Rice with Pickle,75.0
Onion Rava Masala Dosa,75.0
Chapati Channa,65.0
Gulab Jamun [2 Pieces],30.0
Chapati Korma,60.0
Onion Dosa,55.0
Onion Uthappam,55.0
Puri Bhaji,55.0
Watermelon Juice,55.0
Green Salad,50.0
Extra Chapati (2 ),40.0
Ginger Tea,30.0
Veg Puri Meal,125.0
Veg Chapati Meal,125.0
Special Chapati Meal,155.0
Pulao with Salad,90.0
Jeera Rice with Dal,90.0
Dal Rice,80.0
Extra Chapati (2 ),40.0
2 Idli,45.0
2 Vada,55.0
2 Idli and Vada,70.0
2 Dahi Vada,65.0
Chapati Channa,65.0
Chapati Korma,60.0
Chapati Subzi,50.0
Puri Korma,55.0
Puri Bhaji,55.0
Chana Bhatura,65.0
Buns [2 Pieces],55.0
Pav Bhaji,60.0
Paneer Pav Bhaji,75.0
Cheese Pav Bhaji,75.0
Vada Pav,40.0
Samosa [2 Pieces],40.0
Tea,30.0
Coffee,30.0
Masala Tea,30.0
Ginger Tea,30.0
Double Tea,60.0
Double Coffee,60.0
Green Salad,50.0
Aloo Parotta,70.0
Paneer Parotta,90.0
Gobi Parotta,70.0
Methi Parotta,70.0
Carrot Parotta,80.0
Aloo gobi parotta,80.0
Curd Rice with Pickle,75.0
Dal Khichdi,105.0
Lemon Rice,95.0
Paneer Pulao,120.0
Tomato Pulao,90.0
Veg Biryani,105.0
Tomato Rice Bath,90.0
Extra Chapati (2 ),40.0
Onion Uthappam,55.0
Mysore Masala Dosa,70.0
Masala Dosa,65.0
Onion Rava Masala Dosa,75.0
Plain Dosa,50.0
Cheese Dosa,80.0
Set Dosa,50.0
Sada Dosa,50.0
Ghee Roast Dosa,65.0
Cheese Masala Dosa,80.0
Ghee Roast Masala Dosa,70.0
Paneer Masala Dosa,80.0
Rava Masala Dosa,75.0
Neer Dosa,55.0
Onion Dosa,55.0
Gulab Jamun [2 Pieces],30.0
Fruits Salad,70.0
Chocolate Milkshake,95.0
Vanilla Milkshake,80.0
Banana Milkshake,80.0
Mango Milkshake,80.0
Strawberry Milkshake,90.0
Oreo Milkshake,90.0
Lassi,55.0
Orange Juice,80.0
Watermelon Juice,55.0
Mosambi Juice,70.0
Lemon Mint Juice,50.0
Ginger Lime Juice,50.0
Cold Coffee,85.0
Chocolate Falooda,120.0
Gudbad,120.0
Mango Lassi,75.0
