names,prices
Cut Fruits,90.0
Mysore Masala Dosa,80.0
Bombay Vada Pav,62.0
Vegetable Samosa [2 Pieces],50.0
Vada [2 Pieces],50.0
Idli [2 Pieces],42.0
Masala Dosa,75.0
Tea,25.0
Banana Buns,50.0
Onion Pakoda,48.0
Gulab Jamun [4Pieces],90.0
Veg Pizza,160.0
Sambar,50.0
Dahi Vada [2 Pieces],65.0
Idli [2 Pieces] and Vada,58.0
Jahangeer,16.0
Masala Tea,27.0
Veg Cheese Grilled Sandwich,105.0
Paneer Tikka Grilled Sandwich,105.0
Vegetable Pulao,50.0
Poori Bhaji,55.0
Poori Kurma,55.0
Idli [2 Pieces],42.0
Idli [2 Pieces] and Vada,58.0
Vada [2 Pieces],50.0
Vegetable Pulao,50.0
Banana Buns,50.0
Poori Bhaji,55.0
Poori Kurma,55.0
Dahi Vada [2 Pieces],65.0
Sada Dosa [2Pieces],58.0
Masala Dosa,75.0
Set Dosa,70.0
Mysore Masala Dosa,80.0
Ghee Plain Dosa,75.0
Onion Rava Masala Dosa,85.0
Cheese Masala Dosa,83.0
Ghee Masala Dosa,82.0
Paper Dosa,98.0
Neer Dosa,55.0
Sambar,50.0
Veg Pizza,160.0
Veg Sandwich,85.0
Veg Cheese Sandwich,95.0
Veg Grilled Sandwich,95.0
Veg Cheese Grilled Sandwich,105.0
Paneer Tikka Grilled Sandwich,105.0
Bread Jam Butter Sandwich,60.0
Onion Pakoda,48.0
Vegetable Samosa [2 Pieces],50.0
Bombay Vada Pav,62.0
Veg Raita,90.0
Gulab Jamun [4Pieces],90.0
Jahangeer,16.0
Fruit Salad with Jelly Ice Cream,135.0
Cut Fruits,90.0
Tea,25.0
Masala Tea,27.0
Green Tea,30.0
Coffee,27.0
Nes Coffee,35.0
Kashaya,27.0
Bournvita,40.0
Buttermilk,60.0
